t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
1.773696704625680631e+00,0.000000000000000000e+00,2.263032953743193687e-01,0.000000000000000000e+00,2.263032953743193687e-01,4.164589705680343812e-02,4.164589705680343812e-02,4.164589705680343812e-02,4.164589705680343812e-02,4.164589705680343812e-02,4.164589705680343812e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.164589705680343812e-02,0.000000000000000000e+00,4.164589705680343812e-02
1.854319282108666256e+00,0.000000000000000000e+00,1.456807178913337442e-01,0.000000000000000000e+00,1.456807178913337442e-01,1.222684745397890627e-01,1.222684745397890627e-01,1.222684745397890627e-01,1.222684745397890627e-01,1.222684745397890627e-01,1.222684745397890627e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.222684745397890627e-01,0.000000000000000000e+00,1.222684745397890627e-01
1.934941859591651658e+00,0.000000000000000000e+00,2.028910520227744652e-01,0.000000000000000000e+00,6.505814040834834167e-02,6.505814040834834167e-02,6.505814040834834167e-02,6.505814040834834167e-02,2.028910520227744652e-01,2.028910520227744652e-01,2.028910520227744652e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.028910520227744652e-01,0.000000000000000000e+00,2.028910520227744652e-01
2.015564437074637283e+00,0.000000000000000000e+00,2.205035404251525222e-01,0.000000000000000000e+00,1.556443707463728288e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.205035404251525222e-01,2.205035404251525222e-01,2.205035404251525222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.205035404251525222e-01,1.556443707463728288e-02,2.205035404251525222e-01
2.096187014557622685e+00,0.000000000000000000e+00,1.398809629421671197e-01,0.000000000000000000e+00,9.618701455762268537e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.398809629421671197e-01,1.398809629421671197e-01,1.398809629421671197e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.398809629421671197e-01,9.618701455762268537e-02,1.398809629421671197e-01
2.176809592040608088e+00,0.000000000000000000e+00,5.925838545918171718e-02,0.000000000000000000e+00,5.925838545918171718e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.925838545918171718e-02,5.925838545918171718e-02,5.925838545918171718e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.925838545918171718e-02,5.925838545918171718e-02,5.925838545918171718e-02
2.257432169523593490e+00,0.000000000000000000e+00,2.136419202380368532e-02,0.000000000000000000e+00,2.136419202380368532e-02,2.136419202380368532e-02,2.136419202380368532e-02,0.000000000000000000e+00,2.136419202380368532e-02,2.136419202380368532e-02,2.136419202380368532e-02,0.000000000000000000e+00,2.136419202380368532e-02,0.000000000000000000e+00,2.136419202380368532e-02,0.000000000000000000e+00,2.136419202380368532e-02
2.338054747006578893e+00,0.000000000000000000e+00,1.019867695067890878e-01,0.000000000000000000e+00,1.019867695067890878e-01,1.019867695067890878e-01,1.019867695067890878e-01,0.000000000000000000e+00,1.019867695067890878e-01,1.019867695067890878e-01,1.019867695067890878e-01,0.000000000000000000e+00,1.019867695067890878e-01,0.000000000000000000e+00,1.019867695067890878e-01,0.000000000000000000e+00,1.019867695067890878e-01
2.418677324489564739e+00,0.000000000000000000e+00,3.081241829361314188e-02,0.000000000000000000e+00,1.826093469897749344e-01,3.081241829361314188e-02,3.081241829361314188e-02,0.000000000000000000e+00,3.081241829361314188e-02,3.081241829361314188e-02,3.081241829361314188e-02,0.000000000000000000e+00,3.081241829361314188e-02,0.000000000000000000e+00,1.826093469897749344e-01,0.000000000000000000e+00,1.826093469897749344e-01
2.499299901972550142e+00,0.000000000000000000e+00,4.981015918937226061e-02,0.000000000000000000e+00,2.632319244727603369e-01,0.000000000000000000e+00,4.981015918937226061e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.981015918937226061e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.632319244727603369e-01,4.981015918937226061e-02,2.632319244727603369e-01
