t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00,1.464659320619417615e+00
1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00,1.556200528158131258e+00
1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00,1.647741735696844900e+00
1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00,1.739282943235558321e+00
1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00,1.830824150774271963e+00
1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00,1.922365358312985606e+00
2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00,2.013906565851699249e+00
2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00,2.105447773390412891e+00
2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.151937448313169021e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00,2.196988980929126534e+00
2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.060396240774455379e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.262923531806597666e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00,2.288530188467840176e+00
2.380071396006553819e+00,2.380071396006553819e+00,2.380071396006553819e+00,2.380071396006553819e+00,2.380071396006553819e+00,2.380071396006553819e+00,1.968855033235741736e+00,2.380071396006553819e+00,2.351861901972908342e+00,2.380071396006553819e+00,2.380071396006553819e+00,2.380071396006553819e+00,2.171382324267884023e+00,2.380071396006553819e+00,2.380071396006553819e+00,2.380071396006553819e+00,2.380071396006553819e+00
2.471612603545267017e+00,2.471612603545267017e+00,2.471612603545267017e+00,2.471612603545267017e+00,2.471612603545267017e+00,2.471612603545267017e+00,1.877313825697028538e+00,2.471612603545267017e+00,2.260320694434195143e+00,2.471612603545267017e+00,2.471612603545267017e+00,2.471612603545267017e+00,2.079841116729170825e+00,2.471612603545267017e+00,2.471612603545267017e+00,2.471612603545267017e+00,2.471612603545267017e+00
