t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01,9.695359714832658682e-01
1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00,1.066489568631592499e+00
1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00,1.163443165779919131e+00
1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00,1.260396762928245762e+00
1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00,1.357350360076572171e+00
1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00,1.454303957224898802e+00
1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00,1.551257554373225434e+00
1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00,1.648211151521552065e+00
1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00,1.745164748669878696e+00
1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00,1.842118345818205105e+00
1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00,1.939071942966531736e+00
2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00,2.036025540114858590e+00
2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00,2.132979137263184999e+00
2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00,2.229932734411511408e+00
2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00,2.326886331559838261e+00
